INFO:build_features:Feature types: common_stock, adr, etf, closed_end_fund
INFO:build_features:9964 tickers need features | computing 9964 this run
INFO:build_features:2750/9964 tickers | 9,409,482 feature rows | 0 skipped | 9.1 tickers/s | ETA 13.2 min
INFO:build_features:2800/9964 tickers | 9,585,331 feature rows | 0 skipped | 9.1 tickers/s | ETA 13.1 min
INFO:build_features:2850/9964 tickers | 9,808,418 feature rows | 0 skipped | 9.1 tickers/s | ETA 13.1 min
INFO:build_features:2900/9964 tickers | 9,954,427 feature rows | 0 skipped | 9.1 tickers/s | ETA 13.0 min
INFO:build_features:2950/9964 tickers | 10,185,590 feature rows | 0 skipped | 9.0 tickers/s | ETA 12.9 min
INFO:build_features:3000/9964 tickers | 10,403,073 feature rows | 0 skipped | 9.0 tickers/s | ETA 12.9 min
INFO:build_features:3050/9964 tickers | 10,577,716 feature rows | 0 skipped | 9.0 tickers/s | ETA 12.8 min
INFO:build_features:3100/9964 tickers | 10,716,511 feature rows | 0 skipped | 9.0 tickers/s | ETA 12.7 min
INFO:build_features:3150/9964 tickers | 10,856,081 feature rows | 0 skipped | 9.1 tickers/s | ETA 12.5 min
INFO:build_features:3200/9964 tickers | 10,969,726 feature rows | 0 skipped | 9.1 tickers/s | ETA 12.4 min
INFO:build_features:3250/9964 tickers | 11,121,386 feature rows | 0 skipped | 9.1 tickers/s | ETA 12.3 min
INFO:build_features:3300/9964 tickers | 11,274,085 feature rows | 0 skipped | 9.1 tickers/s | ETA 12.2 min
INFO:build_features:3350/9964 tickers | 11,414,453 feature rows | 0 skipped | 9.1 tickers/s | ETA 12.1 min
INFO:build_features:3400/9964 tickers | 11,595,997 feature rows | 0 skipped | 9.1 tickers/s | ETA 12.0 min
INFO:build_features:3450/9964 tickers | 11,772,212 feature rows | 0 skipped | 9.1 tickers/s | ETA 11.9 min
INFO:build_features:3500/9964 tickers | 11,887,846 feature rows | 0 skipped | 9.2 tickers/s | ETA 11.7 min
INFO:build_features:3550/9964 tickers | 12,098,195 feature rows | 0 skipped | 9.2 tickers/s | ETA 11.7 min
INFO:build_features:3600/9964 tickers | 12,313,317 feature rows | 0 skipped | 9.1 tickers/s | ETA 11.6 min
INFO:build_features:3650/9964 tickers | 12,463,377 feature rows | 0 skipped | 9.1 tickers/s | ETA 11.5 min
INFO:build_features:3700/9964 tickers | 12,656,802 feature rows | 0 skipped | 9.1 tickers/s | ETA 11.5 min
INFO:build_features:3750/9964 tickers | 12,820,905 feature rows | 0 skipped | 9.1 tickers/s | ETA 11.4 min
INFO:build_features:3800/9964 tickers | 12,943,696 feature rows | 0 skipped | 9.1 tickers/s | ETA 11.2 min
INFO:build_features:3850/9964 tickers | 13,096,583 feature rows | 0 skipped | 9.2 tickers/s | ETA 11.1 min
INFO:build_features:3900/9964 tickers | 13,238,198 feature rows | 0 skipped | 9.2 tickers/s | ETA 11.0 min
INFO:build_features:3950/9964 tickers | 13,398,941 feature rows | 0 skipped | 9.2 tickers/s | ETA 10.9 min
INFO:build_features:4000/9964 tickers | 13,571,376 feature rows | 0 skipped | 9.2 tickers/s | ETA 10.8 min
INFO:build_features:4050/9964 tickers | 13,727,671 feature rows | 0 skipped | 9.2 tickers/s | ETA 10.7 min
INFO:build_features:4100/9964 tickers | 13,884,068 feature rows | 0 skipped | 9.2 tickers/s | ETA 10.6 min
INFO:build_features:4150/9964 tickers | 14,066,635 feature rows | 0 skipped | 9.2 tickers/s | ETA 10.5 min
INFO:build_features:4200/9964 tickers | 14,305,750 feature rows | 0 skipped | 9.2 tickers/s | ETA 10.4 min
INFO:build_features:4250/9964 tickers | 14,513,774 feature rows | 0 skipped | 9.2 tickers/s | ETA 10.3 min
INFO:build_features:4300/9964 tickers | 14,666,598 feature rows | 0 skipped | 9.2 tickers/s | ETA 10.2 min
INFO:build_features:4350/9964 tickers | 14,754,690 feature rows | 0 skipped | 9.3 tickers/s | ETA 10.1 min
INFO:build_features:4400/9964 tickers | 14,905,246 feature rows | 0 skipped | 9.3 tickers/s | ETA 10.0 min
INFO:build_features:4450/9964 tickers | 15,107,131 feature rows | 0 skipped | 9.3 tickers/s | ETA 9.9 min
INFO:build_features:4500/9964 tickers | 15,326,822 feature rows | 0 skipped | 9.3 tickers/s | ETA 9.8 min
INFO:build_features:4550/9964 tickers | 15,478,535 feature rows | 0 skipped | 9.3 tickers/s | ETA 9.7 min
INFO:build_features:4600/9964 tickers | 15,649,173 feature rows | 0 skipped | 9.3 tickers/s | ETA 9.6 min
INFO:build_features:4650/9964 tickers | 15,824,156 feature rows | 0 skipped | 9.4 tickers/s | ETA 9.5 min
INFO:build_features:4700/9964 tickers | 15,956,980 feature rows | 0 skipped | 9.4 tickers/s | ETA 9.4 min
INFO:build_features:4750/9964 tickers | 16,131,331 feature rows | 0 skipped | 9.4 tickers/s | ETA 9.3 min
INFO:build_features:4800/9964 tickers | 16,378,076 feature rows | 0 skipped | 9.4 tickers/s | ETA 9.2 min
INFO:build_features:4850/9964 tickers | 16,521,662 feature rows | 0 skipped | 9.4 tickers/s | ETA 9.1 min
INFO:build_features:4900/9964 tickers | 16,622,683 feature rows | 0 skipped | 9.4 tickers/s | ETA 9.0 min
INFO:build_features:4950/9964 tickers | 16,795,384 feature rows | 0 skipped | 9.4 tickers/s | ETA 8.8 min
INFO:build_features:5000/9964 tickers | 16,898,381 feature rows | 0 skipped | 9.5 tickers/s | ETA 8.7 min
INFO:build_features:5050/9964 tickers | 17,074,395 feature rows | 0 skipped | 9.5 tickers/s | ETA 8.6 min
INFO:build_features:5100/9964 tickers | 17,247,906 feature rows | 0 skipped | 9.5 tickers/s | ETA 8.5 min
INFO:build_features:5150/9964 tickers | 17,417,154 feature rows | 0 skipped | 9.5 tickers/s | ETA 8.4 min
INFO:build_features:5200/9964 tickers | 17,594,797 feature rows | 0 skipped | 9.6 tickers/s | ETA 8.3 min
INFO:build_features:5250/9964 tickers | 17,720,416 feature rows | 0 skipped | 9.6 tickers/s | ETA 8.2 min
INFO:build_features:5300/9964 tickers | 17,888,226 feature rows | 0 skipped | 9.6 tickers/s | ETA 8.1 min
INFO:build_features:5350/9964 tickers | 18,032,365 feature rows | 0 skipped | 9.6 tickers/s | ETA 8.0 min
INFO:build_features:5400/9964 tickers | 18,211,183 feature rows | 0 skipped | 9.7 tickers/s | ETA 7.9 min
INFO:build_features:5450/9964 tickers | 18,347,350 feature rows | 0 skipped | 9.7 tickers/s | ETA 7.8 min
INFO:build_features:5500/9964 tickers | 18,543,743 feature rows | 0 skipped | 9.7 tickers/s | ETA 7.7 min
INFO:build_features:5550/9964 tickers | 18,685,552 feature rows | 0 skipped | 9.7 tickers/s | ETA 7.6 min
INFO:build_features:5600/9964 tickers | 18,870,898 feature rows | 0 skipped | 9.7 tickers/s | ETA 7.5 min
INFO:build_features:5650/9964 tickers | 19,043,592 feature rows | 0 skipped | 9.7 tickers/s | ETA 7.4 min
INFO:build_features:5700/9964 tickers | 19,239,357 feature rows | 0 skipped | 9.7 tickers/s | ETA 7.3 min
INFO:build_features:5750/9964 tickers | 19,446,160 feature rows | 0 skipped | 9.8 tickers/s | ETA 7.2 min
INFO:build_features:5800/9964 tickers | 19,654,472 feature rows | 0 skipped | 9.8 tickers/s | ETA 7.1 min
