INFO:bias_exposure:Loading panel 2006-01-01 -> 2019-12-31

  SURVIVORSHIP EXPOSURE — validation survivors, entries scored on 2006-01-01 to 2019-12-31
     excess  >30% off  >60% off  mean DD  verdict                            entry rule
     +2,223       32%        5%      25%  caution                            not((rank(stoch_d) < 0.6149 or (crosses_abov
     +1,877       31%        5%      25%  caution                            stoch_k < 14.2013
     +1,864       15%        4%      16%  ok                                 not((rank(macd) < 0.805 or (cci_20 > macd_hi
     +1,736       19%        4%      16%  ok                                 (crosses_above(rank(vol_ratio), cci_20) and 
     +1,704       28%        4%      23%  caution                            not((rank(stoch_d) < 0.6072 or (crosses_belo
     +1,635       60%       17%      39%  REFUSE — untestable on this data   (roc_10 < -10.9569 and crosses_below(pct_cha
     +1,543       25%        4%      22%  caution                            not((rank(stoch_d) < 0.5082 or (cci_20 > rsi
     +1,464       22%        4%      21%  caution                            not((rank(obv_rising) < 0.805 or (crosses_ab
     +1,462       25%        4%      22%  caution                            not((crosses_above(rank(willr_14), 0.805) or
     +1,446       27%        4%      23%  caution                            not((rank(stoch_d) < 0.5693 or (cci_20 > vol
     +1,426       28%        4%      23%  caution                            not((rank(stoch_d) < 0.5353 or (crosses_belo
     +1,409       26%        4%      22%  caution                            not((rank(stoch_d) < 0.5451 or (crosses_belo
     +1,322       25%        4%      22%  caution                            not((rank(bb_pct) > 0.805 or (crosses_below(
     +1,244       27%        4%      23%  caution                            not((rank(stoch_d) < 0.5555 or (cci_20 > bb_
  ----------------------------------------------------------------------------------------------------------------------
  Baseline: 15% of all tradeable rows are more than 30% off their own 200-day high.
  34 of 78 concentrate the bias past the 35% limit and are refused promotion.

  Refused is not 'probably wrong'. It is 'this data cannot answer the question':
  5 tickers stopped trading in the whole 2006-2019 window, against 9,029 companies
  the Internet Archive says existed. Paper trading is the only test left for these.
